ID,Section,Severity,CVSS,Title,Description,Recommendation,Status,OWASP_Mapping,SOC2_Mapping,Evidence
SEC-08,5.2,MEDIUM,N/A,No DPA template for enterprise,No Data Processing Agreement template available. Required for GDPR Article 28 compliance and enterprise sales.,Create DPA template covering processor obligations data locations sub-processors.,"RESOLVED — DPA_TEMPLATE.md added (GDPR Art. 28 + SCC Module 2, 398 lines)",,CC2.3,docs/compliance/current.md confirms gap
SEC-09,4.1,MEDIUM,N/A,Backup restoration untested,No documented RTO or RPO. Backup restoration procedure not tested. Critical for enterprise assurance.,Test full restore from backup on isolated environment. Document RTO/RPO achieved.,"RESOLVED — Weekly restore test, RTO=86s, RPO<24h",,A1.2,No backup test evidence found
SEC-24,2.8,MEDIUM,5.5,Finance Redis has no password,thinkneo-finance-redis-1 has requirepass empty and protected-mode disabled. Any container on the Docker network can access it.,Add requirepass to Redis config and update finance API connection strings.,RESOLVED — Finance Redis requirepass enabled,A07:2021,CC6.1,redis-cli CONFIG GET requirepass returns empty
SEC-25,2.8,MEDIUM,5.0,World-readable .env files,thinkneo-ea/.env and lazaroni/.env.local have 644 permissions (world-readable). Contains API keys and secrets.,chmod 600 on all .env files. Add file permission check to deployment scripts.,RESOLVED — All .env files chmod 600,A01:2021-Broken Access Control,CC6.1,stat output shows 644 permissions
SEC-26,2.3,MEDIUM,4.0,Guardrails do not detect XSS or shell commands,thinkneo_check does not flag <script>alert(1)</script> or $(whoami) payloads. While the API returns JSON-only the guardrail should warn about these patterns for downstream use.,Add XSS and shell metacharacter patterns to _INJECTION_PATTERNS in guardrails_free.py.,RESOLVED — 6 XSS/shell patterns + 22 tests added,A03:2021-Injection,CC7.2,curl test with XSS payload returns safe=true
SEC-14,5.4,MEDIUM,N/A,Sub-processor list not published,DigitalOcean (hosting) Resend (email) and any other sub-processors not publicly listed. Required for GDPR.,Create public sub-processor list page at thinkneo.ai/sub-processors.,RESOLVED — docs/compliance/sub-processors.md published,,CC2.3,No sub-processor page found
SEC-15,1.6,MEDIUM,N/A,No self-service account deletion,Account/data deletion requires manual email request. No automated flow for GDPR Article 17 right to erasure.,Implement /account/delete endpoint with 30-day grace period and confirmation email.,Open,,P4.2,No delete API found
SEC-10,2.1,LOW,3.5,key_prefix storage inconsistency,signup.py stores 12 characters of key prefix while database.py stores 8. Minor inconsistency that could cause confusion in audit logs.,Standardize to 8 characters (security-conservative) across all code paths.,RESOLVED — key_prefix standardized to 8 chars,,CC7.1,signup.py:137 vs database.py ensure_api_key()
SEC-11,1.3,LOW,2.0,A2A agent card at non-standard path,Agent card served at /.well-known/agent-card.json instead of standard /.well-known/agent.json. TCK tests reference agent.json.,Add nginx redirect from agent.json to agent-card.json for compatibility.,RESOLVED — nginx 301 redirect agent.json -> agent-card.json,,CC7.1,curl test returns 404 on agent.json
SEC-12,2.5,LOW,2.0,HSTS max-age inconsistency,thinkneo.ai uses max-age=63072000 with preload while mcp.thinkneo.ai uses max-age=31536000 without preload. Inconsistent security posture.,Standardize to max-age=63072000; includeSubDomains; preload across all nginx configs.,RESOLVED — HSTS max-age=63072000 with preload on all domains,,CC6.7,Security header comparison
SEC-27,2.3,LOW,2.5,Memory tool leaks filenames in error responses,thinkneo_read_memory returns names of existing .md files on disk in error responses (e.g. e2e_test.md hack.md probe.md). Minor information disclosure.,Return generic error messages without listing filenames. Only list files for authenticated requests.,RESOLVED — memory tool no longer leaks filenames,A01:2021,CC6.1,curl test error response
SEC-28,6.1,LOW,2.0,Python SDK README has wrong class names,README references ThinkneoClient / AsyncThinkneoClient but actual exported classes are ThinkNEO / AsyncThinkNEO. Developer confusion.,Update README.md to match actual class names.,RESOLVED — SDK README updated with correct class names,,,/opt/sdk-python/README.md
SEC-29,4.5,LOW,3.0,Disk at 74% with 28GB reclaimable Docker cache,Production disk at 70G/96G (74%) with 28 GB of reclaimable Docker build cache and 370 MB brain-api log.,Run docker builder prune and truncate the brain-api log. Add disk monitoring alerts.,"RESOLVED — Disk monitor cron installed (hourly, 80% threshold)",,A1.2,df -h and docker system df output
SEC-13,2.6,INFO,0.0,Server header reveals nginx,Server: nginx header is returned. Version is hidden (server_tokens off) but software is identifiable.,Consider removing Server header entirely with more_clear_headers.,"ACCEPTED — headers-more module not available, server_tokens off",,CC6.7,HTTP response headers
SEC-16,5.3,LOW,N/A,DMARC policy at p=none,DMARC DNS record uses p=none (monitoring only no enforcement). Emails can be spoofed.,After confirming DKIM works upgrade to p=quarantine then p=reject.,RESOLVED — DMARC upgraded to p=quarantine (applied by Fabio 2026-04-26),,CC6.7,DNS record check
SEC-17,5.3,LOW,N/A,CAA DNS record missing,No Certificate Authority Authorization record. Any CA can issue certificates for thinkneo.ai.,Add CAA 0 issue letsencrypt.org DNS record.,RESOLVED — CAA 0 issue letsencrypt.org (applied by Fabio 2026-04-26),,CC6.7,DNS record check
SEC-18,5.3,LOW,N/A,DKIM record missing,No DKIM TXT record found. Email authentication incomplete.,Configure DKIM signing in Google Workspace and publish TXT record.,RESOLVED — DKIM google._domainkey configured in Google Workspace (applied by Fabio 2026-04-26),,CC6.7,DNS record check
SEC-19,4.3,LOW,N/A,Audit log not database-enforced append-only,Usage logs are append-only by application logic but not enforced by DB constraints. A compromised app could delete logs.,Consider PostgreSQL RLS or trigger-based protection on audit tables.,RESOLVED — DELETE triggers on usage_log and a2a_interactions,,CC7.3,init_db.sql schema review
SEC-20,6.3,LOW,N/A,Documentation scattered across multiple files,Security compliance and operational docs spread across THREAT_MODEL.md SECURITY.md AUDIT_REPORT.md docs/compliance/. No unified documentation site.,Create docs.thinkneo.ai with consolidated documentation.,Open,,CC2.2,Multiple doc files
